Year,Early,Election Day,Mail,Total,ed_pct,mail_pct,early_pct
2018,659669,1482029,162814,2304512,64.3098842618307,7.065009858920241,28.62510587924906
2020,983985,437126,1502986,3037030,14.393206520844378,49.48867808352239,32.39958116976125
2022,378551,1037176,338748,1754475,59.116031861383036,19.307656136451076,21.57631200216589
